SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0031.P0031_R0390SA.P0031_R0390SA.P0031_R0390SA_CPU.P0031_R0390SA_EIPAdapter;Data3000ms;LtmMode;3000;30000
Domain.PLC_P0031.P0031_V0363SA.P0031_V0363SA.P0031_V0363SA_CPU.P0031_V0363SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0031.P0031_V0390SA.P0031_V0390SA.P0031_V0390SA_CPU.P0031_V0390SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0031.P0031_V0408SA.P0031_V0408SA.P0031_V0408SA_CPU.P0031_V0408SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0031.P0031_V0425SA.P0031_V0425SA.P0031_V0425SA_CPU.P0031_V0425SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0031.P0031_V0444SA.P0031_V0444SA.P0031_V0444SA_CPU.P0031_V0444SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
