SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0031.P0031_R0390SA.P0031_R0390SA.P0031_R0390SA_CPU.P0031_R0390SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0031.P0031_V0363SA.P0031_V0363SA.P0031_V0363SA_CPU.P0031_V0363SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0031.P0031_V0390SA.P0031_V0390SA.P0031_V0390SA_CPU.P0031_V0390SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0031.P0031_V0408SA.P0031_V0408SA.P0031_V0408SA_CPU.P0031_V0408SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0031.P0031_V0425SA.P0031_V0425SA.P0031_V0425SA_CPU.P0031_V0425SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0031.P0031_V0444SA.P0031_V0444SA.P0031_V0444SA_CPU.P0031_V0444SA_EIPAdapter;LtmMode;10;600;10;500
