SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0035.P0035_R0941SA.P0035_R0941SA.P0035_R0941SA_CPU.P0035_R0941SA_EIPAdapter;Data3000ms;LtmMode;3000;30000
Domain.PLC_P0035.P0035_V0896SA.P0035_V0896SA.P0035_V0896SA_CPU.P0035_V0896SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0035.P0035_V0920SA.P0035_V0920SA.P0035_V0920SA_CPU.P0035_V0920SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0035.P0035_V0941SA.P0035_V0941SA.P0035_V0941SA_CPU.P0035_V0941SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0035.P0035_V0951SA.P0035_V0951SA.P0035_V0951SA_CPU.P0035_V0951SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
