SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0035.P0035EA.P0035EA.P0035EA_CPU.P0035EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0035.P0035EA.P0035EA.P0035EA_CPU.P0035EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0035.P0035EA.P0035EA.P0035EA_CPU.P0035EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0035.P0035JAR.P0035JAR.P0035JAR_CPU.P0035JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0035.P0035JAR.P0035JAR.P0035JAR_CPU.P0035JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0035.P0035JAR.P0035JAR.P0035JAR_CPU.P0035JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0035.P0035JC.P0035JC.P0035JC_CPU.P0035JC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0035.P0035JC.P0035JC.P0035JC_CPU.P0035JC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0035.P0035JC.P0035JC.P0035JC_CPU.P0035JC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0035.P0035JD.P0035JD.P0035JD_CPU.P0035JD_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0035.P0035JD.P0035JD.P0035JD_CPU.P0035JD_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0035.P0035JD.P0035JD.P0035JD_CPU.P0035JD_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0035.P0035JE.P0035JE.P0035JE_CPU.P0035JE_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0035.P0035JE.P0035JE.P0035JE_CPU.P0035JE_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0035.P0035JE.P0035JE.P0035JE_CPU.P0035JE_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0035.P0035NAR.P0035NAR.P0035NAR_CPU.P0035NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0035.P0035NAR.P0035NAR.P0035NAR_CPU.P0035NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0035.P0035NAR.P0035NAR.P0035NAR_CPU.P0035NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0035.P0035NBR.P0035NBR.P0035NBR_CPU.P0035NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0035.P0035NBR.P0035NBR.P0035NBR_CPU.P0035NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0035.P0035NBR.P0035NBR.P0035NBR_CPU.P0035NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0035.P0035SB.P0035SB.P0035SB_CPU.P0035SB_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0035.P0035SB.P0035SB.P0035SB_CPU.P0035SB_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0035.P0035SB.P0035SB.P0035SB_CPU.P0035SB_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
