SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0035.P0035_R0941SA.P0035_R0941SA.P0035_R0941SA_CPU.P0035_R0941SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0035.P0035_V0896SA.P0035_V0896SA.P0035_V0896SA_CPU.P0035_V0896SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0035.P0035_V0920SA.P0035_V0920SA.P0035_V0920SA_CPU.P0035_V0920SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0035.P0035_V0941SA.P0035_V0941SA.P0035_V0941SA_CPU.P0035_V0941SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0035.P0035_V0951SA.P0035_V0951SA.P0035_V0951SA_CPU.P0035_V0951SA_EIPAdapter;LtmMode;10;600;10;500
