SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0033.P0033_R0674SA.P0033_R0674SA.P0033_R0674SA_CPU.P0033_R0674SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0033.P0033_V0657SA.P0033_V0657SA.P0033_V0657SA_CPU.P0033_V0657SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0033.P0033_V0674SA.P0033_V0674SA.P0033_V0674SA_CPU.P0033_V0674SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0033.P0033_V0697SA.P0033_V0697SA.P0033_V0697SA_CPU.P0033_V0697SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0033.P0033_V0717SA.P0033_V0717SA.P0033_V0717SA_CPU.P0033_V0717SA_EIPAdapter;LtmMode;10;600;10;500
