SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0037.P0037EA.P0037EA.P0037EA_CPU.P0037EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0037.P0037EA.P0037EA.P0037EA_CPU.P0037EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0037.P0037EA.P0037EA.P0037EA_CPU.P0037EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0037.P0037JAR.P0037JAR.P0037JAR_CPU.P0037JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0037.P0037JAR.P0037JAR.P0037JAR_CPU.P0037JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0037.P0037JAR.P0037JAR.P0037JAR_CPU.P0037JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0037.P0037JC.P0037JC.P0037JC_CPU.P0037JC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0037.P0037JC.P0037JC.P0037JC_CPU.P0037JC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0037.P0037JC.P0037JC.P0037JC_CPU.P0037JC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0037.P0037JD.P0037JD.P0037JD_CPU.P0037JD_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0037.P0037JD.P0037JD.P0037JD_CPU.P0037JD_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0037.P0037JD.P0037JD.P0037JD_CPU.P0037JD_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0037.P0037JE.P0037JE.P0037JE_CPU.P0037JE_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0037.P0037JE.P0037JE.P0037JE_CPU.P0037JE_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0037.P0037JE.P0037JE.P0037JE_CPU.P0037JE_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0037.P0037NAR.P0037NAR.P0037NAR_CPU.P0037NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0037.P0037NAR.P0037NAR.P0037NAR_CPU.P0037NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0037.P0037NAR.P0037NAR.P0037NAR_CPU.P0037NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0037.P0037NBR.P0037NBR.P0037NBR_CPU.P0037NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0037.P0037NBR.P0037NBR.P0037NBR_CPU.P0037NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0037.P0037NBR.P0037NBR.P0037NBR_CPU.P0037NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0037.P0037SB.P0037SB.P0037SB_CPU.P0037SB_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0037.P0037SB.P0037SB.P0037SB_CPU.P0037SB_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0037.P0037SB.P0037SB.P0037SB_CPU.P0037SB_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
