SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0024.P0024_R0754SA.P0024_R0754SA.P0024_R0754SA_CPU.P0024_R0754SA_EIPAdapter;Data3000ms;LtmMode;3000;30000
Domain.PLC_P0024.P0024_V0737SA.P0024_V0737SA.P0024_V0737SA_CPU.P0024_V0737SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0024.P0024_V0754SA.P0024_V0754SA.P0024_V0754SA_CPU.P0024_V0754SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0024.P0024_V0780SA.P0024_V0780SA.P0024_V0780SA_CPU.P0024_V0780SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0024.P0024_V0805SA.P0024_V0805SA.P0024_V0805SA_CPU.P0024_V0805SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
