SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0024.P0024_R0754SA.P0024_R0754SA.P0024_R0754SA_CPU.P0024_R0754SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0024.P0024_V0737SA.P0024_V0737SA.P0024_V0737SA_CPU.P0024_V0737SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0024.P0024_V0754SA.P0024_V0754SA.P0024_V0754SA_CPU.P0024_V0754SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0024.P0024_V0780SA.P0024_V0780SA.P0024_V0780SA_CPU.P0024_V0780SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0024.P0024_V0805SA.P0024_V0805SA.P0024_V0805SA_CPU.P0024_V0805SA_EIPAdapter;LtmMode;10;600;10;500
