SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0025.P0025_R1237SA.P0025_R1237SA.P0025_R1237SA_CPU.P0025_R1237SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0025.P0025_V1159SA.P0025_V1159SA.P0025_V1159SA_CPU.P0025_V1159SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0025.P0025_V1165SA.P0025_V1165SA.P0025_V1165SA_CPU.P0025_V1165SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0025.P0025_V1192SA.P0025_V1192SA.P0025_V1192SA_CPU.P0025_V1192SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0025.P0025_V1193SA.P0025_V1193SA.P0025_V1193SA_CPU.P0025_V1193SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0025.P0025_V1215SA.P0025_V1215SA.P0025_V1215SA_CPU.P0025_V1215SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0025.P0025_V1216SA.P0025_V1216SA.P0025_V1216SA_CPU.P0025_V1216SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0025.P0025_V1237SA.P0025_V1237SA.P0025_V1237SA_CPU.P0025_V1237SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0025.P0025_V1253SA.P0025_V1253SA.P0025_V1253SA_CPU.P0025_V1253SA_EIPAdapter;LtmMode;10;600;10;500
