SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0036.P0036EA.P0036EA.P0036EA_CPU.P0036EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0036.P0036EA.P0036EA.P0036EA_CPU.P0036EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0036.P0036EA.P0036EA.P0036EA_CPU.P0036EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0036.P0036JAR.P0036JAR.P0036JAR_CPU.P0036JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0036.P0036JAR.P0036JAR.P0036JAR_CPU.P0036JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0036.P0036JAR.P0036JAR.P0036JAR_CPU.P0036JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0036.P0036JC.P0036JC.P0036JC_CPU.P0036JC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0036.P0036JC.P0036JC.P0036JC_CPU.P0036JC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0036.P0036JC.P0036JC.P0036JC_CPU.P0036JC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0036.P0036JD.P0036JD.P0036JD_CPU.P0036JD_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0036.P0036JD.P0036JD.P0036JD_CPU.P0036JD_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0036.P0036JD.P0036JD.P0036JD_CPU.P0036JD_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0036.P0036JE.P0036JE.P0036JE_CPU.P0036JE_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0036.P0036JE.P0036JE.P0036JE_CPU.P0036JE_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0036.P0036JE.P0036JE.P0036JE_CPU.P0036JE_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0036.P0036NAR.P0036NAR.P0036NAR_CPU.P0036NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0036.P0036NAR.P0036NAR.P0036NAR_CPU.P0036NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0036.P0036NAR.P0036NAR.P0036NAR_CPU.P0036NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0036.P0036NBR.P0036NBR.P0036NBR_CPU.P0036NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0036.P0036NBR.P0036NBR.P0036NBR_CPU.P0036NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0036.P0036NBR.P0036NBR.P0036NBR_CPU.P0036NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
