SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0034.P0034_R0845SA.P0034_R0845SA.P0034_R0845SA_CPU.P0034_R0845SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0034.P0034_V0825SA.P0034_V0825SA.P0034_V0825SA_CPU.P0034_V0825SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0034.P0034_V0845SA.P0034_V0845SA.P0034_V0845SA_CPU.P0034_V0845SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0034.P0034_V0872SA.P0034_V0872SA.P0034_V0872SA_CPU.P0034_V0872SA_EIPAdapter;LtmMode;10;600;10;500
