SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0023.P0023_R0580SA.P0023_R0580SA.P0023_R0580SA_CPU.P0023_R0580SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0023.P0023_V0573SA.P0023_V0573SA.P0023_V0573SA_CPU.P0023_V0573SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0023.P0023_V0580SA.P0023_V0580SA.P0023_V0580SA_CPU.P0023_V0580SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0023.P0023_V0597SA.P0023_V0597SA.P0023_V0597SA_CPU.P0023_V0597SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0023.P0023_V0617SA.P0023_V0617SA.P0023_V0617SA_CPU.P0023_V0617SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0023.P0023_V0637SA.P0023_V0637SA.P0023_V0637SA_CPU.P0023_V0637SA_EIPAdapter;LtmMode;10;600;10;500
