SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0039.P0039_R1459SA.P0039_R1459SA.P0039_R1459SA_CPU.P0039_R1459SA_EIPAdapter;Data3000ms;LtmMode;3000;30000
Domain.PLC_P0039.P0039_V1395SA.P0039_V1395SA.P0039_V1395SA_CPU.P0039_V1395SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0039.P0039_V1410SA.P0039_V1410SA.P0039_V1410SA_CPU.P0039_V1410SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0039.P0039_V1412SA.P0039_V1412SA.P0039_V1412SA_CPU.P0039_V1412SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0039.P0039_V1433SA.P0039_V1433SA.P0039_V1433SA_CPU.P0039_V1433SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0039.P0039_V1459SA.P0039_V1459SA.P0039_V1459SA_CPU.P0039_V1459SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0039.P0039_V1476SA.P0039_V1476SA.P0039_V1476SA_CPU.P0039_V1476SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0039.P0039_V1482SA.P0039_V1482SA.P0039_V1482SA_CPU.P0039_V1482SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0039.P0039_V1489SA.P0039_V1489SA.P0039_V1489SA_CPU.P0039_V1489SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
