SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0039.P0039EA.P0039EA.P0039EA_CPU.P0039EA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0039.P0039EA.P0039EA.P0039EA_CPU.P0039EA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0039.P0039EA.P0039EA.P0039EA_CPU.P0039EA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0039.P0039JAR.P0039JAR.P0039JAR_CPU.P0039JAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0039.P0039JAR.P0039JAR.P0039JAR_CPU.P0039JAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0039.P0039JAR.P0039JAR.P0039JAR_CPU.P0039JAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0039.P0039JC.P0039JC.P0039JC_CPU.P0039JC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0039.P0039JC.P0039JC.P0039JC_CPU.P0039JC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0039.P0039JC.P0039JC.P0039JC_CPU.P0039JC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0039.P0039JD.P0039JD.P0039JD_CPU.P0039JD_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0039.P0039JD.P0039JD.P0039JD_CPU.P0039JD_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0039.P0039JD.P0039JD.P0039JD_CPU.P0039JD_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0039.P0039JE.P0039JE.P0039JE_CPU.P0039JE_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0039.P0039JE.P0039JE.P0039JE_CPU.P0039JE_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0039.P0039JE.P0039JE.P0039JE_CPU.P0039JE_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0039.P0039NAR.P0039NAR.P0039NAR_CPU.P0039NAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0039.P0039NAR.P0039NAR.P0039NAR_CPU.P0039NAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0039.P0039NAR.P0039NAR.P0039NAR_CPU.P0039NAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0039.P0039NBR.P0039NBR.P0039NBR_CPU.P0039NBR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0039.P0039NBR.P0039NBR.P0039NBR_CPU.P0039NBR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0039.P0039NBR.P0039NBR.P0039NBR_CPU.P0039NBR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0039.P0039SB.P0039SB.P0039SB_CPU.P0039SB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0039.P0039SB.P0039SB.P0039SB_CPU.P0039SB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0039.P0039SB.P0039SB.P0039SB_CPU.P0039SB_EIPAdapter;SatelliteMode;10;600;10;500
