SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0039.P0039EA.P0039EA.P0039EA_CPU.P0039EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0039.P0039EA.P0039EA.P0039EA_CPU.P0039EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0039.P0039EA.P0039EA.P0039EA_CPU.P0039EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0039.P0039JAR.P0039JAR.P0039JAR_CPU.P0039JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0039.P0039JAR.P0039JAR.P0039JAR_CPU.P0039JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0039.P0039JAR.P0039JAR.P0039JAR_CPU.P0039JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0039.P0039JC.P0039JC.P0039JC_CPU.P0039JC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0039.P0039JC.P0039JC.P0039JC_CPU.P0039JC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0039.P0039JC.P0039JC.P0039JC_CPU.P0039JC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0039.P0039JD.P0039JD.P0039JD_CPU.P0039JD_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0039.P0039JD.P0039JD.P0039JD_CPU.P0039JD_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0039.P0039JD.P0039JD.P0039JD_CPU.P0039JD_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0039.P0039JE.P0039JE.P0039JE_CPU.P0039JE_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0039.P0039JE.P0039JE.P0039JE_CPU.P0039JE_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0039.P0039JE.P0039JE.P0039JE_CPU.P0039JE_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0039.P0039NAR.P0039NAR.P0039NAR_CPU.P0039NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0039.P0039NAR.P0039NAR.P0039NAR_CPU.P0039NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0039.P0039NAR.P0039NAR.P0039NAR_CPU.P0039NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0039.P0039NBR.P0039NBR.P0039NBR_CPU.P0039NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0039.P0039NBR.P0039NBR.P0039NBR_CPU.P0039NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0039.P0039NBR.P0039NBR.P0039NBR_CPU.P0039NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0039.P0039SB.P0039SB.P0039SB_CPU.P0039SB_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0039.P0039SB.P0039SB.P0039SB_CPU.P0039SB_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0039.P0039SB.P0039SB.P0039SB_CPU.P0039SB_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
