SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0039.P0039_R1459SA.P0039_R1459SA.P0039_R1459SA_CPU.P0039_R1459SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0039.P0039_V1395SA.P0039_V1395SA.P0039_V1395SA_CPU.P0039_V1395SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0039.P0039_V1410SA.P0039_V1410SA.P0039_V1410SA_CPU.P0039_V1410SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0039.P0039_V1412SA.P0039_V1412SA.P0039_V1412SA_CPU.P0039_V1412SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0039.P0039_V1433SA.P0039_V1433SA.P0039_V1433SA_CPU.P0039_V1433SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0039.P0039_V1459SA.P0039_V1459SA.P0039_V1459SA_CPU.P0039_V1459SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0039.P0039_V1476SA.P0039_V1476SA.P0039_V1476SA_CPU.P0039_V1476SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0039.P0039_V1482SA.P0039_V1482SA.P0039_V1482SA_CPU.P0039_V1482SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0039.P0039_V1489SA.P0039_V1489SA.P0039_V1489SA_CPU.P0039_V1489SA_EIPAdapter;LtmMode;10;600;10;500
