SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0032.P0032_R0483SA.P0032_R0483SA.P0032_R0483SA_CPU.P0032_R0483SA_EIPAdapter;Data3000ms;LtmMode;3000;30000
Domain.PLC_P0032.P0032_V0463SA.P0032_V0463SA.P0032_V0463SA_CPU.P0032_V0463SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0032.P0032_V0483SA.P0032_V0483SA.P0032_V0483SA_CPU.P0032_V0483SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0032.P0032_V0502SA.P0032_V0502SA.P0032_V0502SA_CPU.P0032_V0502SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0032.P0032_V0524SA.P0032_V0524SA.P0032_V0524SA_CPU.P0032_V0524SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0032.P0032_V0547SA.P0032_V0547SA.P0032_V0547SA_CPU.P0032_V0547SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
