SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0032.P0032EA.P0032EA.P0032EA_CPU.P0032EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0032.P0032EA.P0032EA.P0032EA_CPU.P0032EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0032.P0032EA.P0032EA.P0032EA_CPU.P0032EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0032.P0032EB.P0032EB.P0032EB_CPU.P0032EB_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0032.P0032EB.P0032EB.P0032EB_CPU.P0032EB_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0032.P0032EB.P0032EB.P0032EB_CPU.P0032EB_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0032.P0032EC.P0032EC.P0032EC_CPU.P0032EC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0032.P0032EC.P0032EC.P0032EC_CPU.P0032EC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0032.P0032EC.P0032EC.P0032EC_CPU.P0032EC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0032.P0032JA.P0032JA.P0032JA_CPU.P0032JA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0032.P0032JA.P0032JA.P0032JA_CPU.P0032JA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0032.P0032JA.P0032JA.P0032JA_CPU.P0032JA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0032.P0032JAR.P0032JAR.P0032JAR_CPU.P0032JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0032.P0032JAR.P0032JAR.P0032JAR_CPU.P0032JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0032.P0032JAR.P0032JAR.P0032JAR_CPU.P0032JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0032.P0032JC.P0032JC.P0032JC_CPU.P0032JC_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0032.P0032JC.P0032JC.P0032JC_CPU.P0032JC_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0032.P0032JC.P0032JC.P0032JC_CPU.P0032JC_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0032.P0032JD.P0032JD.P0032JD_CPU.P0032JD_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0032.P0032JD.P0032JD.P0032JD_CPU.P0032JD_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0032.P0032JD.P0032JD.P0032JD_CPU.P0032JD_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0032.P0032JFR.P0032JFR.P0032JFR_CPU.P0032JFR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0032.P0032JFR.P0032JFR.P0032JFR_CPU.P0032JFR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0032.P0032JFR.P0032JFR.P0032JFR_CPU.P0032JFR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0032.P0032MA.P0032MA.P0032MA_CPU.P0032MA_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0032.P0032MA.P0032MA.P0032MA_CPU.P0032MA_EIPAdapter;Data3000ms;RadioMode;30000;30000
