SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0032.P0032_R0483SA.P0032_R0483SA.P0032_R0483SA_CPU.P0032_R0483SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0032.P0032_V0463SA.P0032_V0463SA.P0032_V0463SA_CPU.P0032_V0463SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0032.P0032_V0483SA.P0032_V0483SA.P0032_V0483SA_CPU.P0032_V0483SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0032.P0032_V0502SA.P0032_V0502SA.P0032_V0502SA_CPU.P0032_V0502SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0032.P0032_V0524SA.P0032_V0524SA.P0032_V0524SA_CPU.P0032_V0524SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0032.P0032_V0547SA.P0032_V0547SA.P0032_V0547SA_CPU.P0032_V0547SA_EIPAdapter;LtmMode;10;600;10;500
