SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0021.P0021_R0000SA.P0021_R0000SA.P0021_R0000SA_CPU.P0021_R0000SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0021.P0021_R0130SA.P0021_R0130SA.P0021_R0130SA_CPU.P0021_R0130SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0021.P0021_V0001SA.P0021_V0001SA.P0021_V0001SA_CPU.P0021_V0001SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0021.P0021_V0027SA.P0021_V0027SA.P0021_V0027SA_CPU.P0021_V0027SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0021.P0021_V0055SA.P0021_V0055SA.P0021_V0055SA_CPU.P0021_V0055SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0021.P0021_V0083SA.P0021_V0083SA.P0021_V0083SA_CPU.P0021_V0083SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0021.P0021_V0085SA.P0021_V0085SA.P0021_V0085SA_CPU.P0021_V0085SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0021.P0021_V0111SA.P0021_V0111SA.P0021_V0111SA_CPU.P0021_V0111SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0021.P0021_V0130SA.P0021_V0130SA.P0021_V0130SA_CPU.P0021_V0130SA_EIPAdapter;LtmMode;10;600;10;500
